danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,dance_style
0.502,0.152,-16.771,0.0391,0.982,0.829,0.201,0.497,122.324,Salsa
0.358,0.961,-4.253,0.067,0.0307,0.208,0.237,0.0502,105.026,Breaking
0.554,0.853,-3.761,0.0439,0.555,0.0,0.314,0.651,132.151,K-Pop
0.761,0.811,-11.709,0.0544,0.0508,0.835,0.0792,0.763,136.012,Breaking
0.492,0.57,-5.123,0.032,0.169,0.0,0.271,0.266,140.037,Breaking
0.803,0.575,-6.917,0.0697,0.0344,0.000406,0.533,0.704,85.018,Hip Hop
0.737,0.902,-3.716,0.0607,0.464,0.000145,0.032,0.946,129.681,K-Pop
0.25,0.656,-6.576,0.0317,0.229,0.82,0.0956,0.15,104.987,Ballet
0.555,0.941,-3.294,0.0481,0.484,0.0,0.266,0.813,92.487,K-Pop
0.56,0.802,-5.428,0.0373,0.0863,0.0,0.116,0.423,103.059,Contemporary
0.505,0.627,-7.851,0.0273,0.423,7.4e-05,0.0755,0.296,141.881,Contemporary
0.658,0.854,-6.796,0.0323,0.467,0.137,0.578,0.516,119.562,Hip Hop
0.199,0.149,-18.329,0.0464,0.953,9.53e-05,0.345,0.0681,83.489,Ballet
0.696,0.11,-14.871,0.0349,0.992,0.865,0.0623,0.164,130.047,Ballet
0.358,0.0943,-20.965,0.0331,0.981,0.849,0.143,0.287,70.532,Ballet
0.386,0.323,-20.328,0.0369,0.915,0.919,0.239,0.136,97.807,Ballet
0.323,0.943,-8.451,0.0538,0.588,0.00529,0.227,0.0606,90.264,Breaking
0.287,0.19,-16.959,0.0379,0.941,0.369,0.0906,0.177,77.583,Ballet
0.422,0.419,-8.761,0.0317,0.655,4.27e-05,0.104,0.0852,137.409,Ballet
0.632,0.629,-7.392,0.0354,0.151,0.00382,0.114,0.456,87.998,Hip Hop
0.55,0.979,-3.225,0.118,0.0223,0.221,0.107,0.325,100.079,Breaking
0.669,0.67,-12.287,0.0478,0.85,0.85,0.106,0.739,113.692,Breaking
0.818,0.693,-5.631,0.133,0.158,0.0,0.124,0.554,100.011,K-Pop
0.719,0.932,-6.826,0.0671,0.0656,0.815,0.043,0.669,176.013,Hip Hop
0.776,0.878,-3.063,0.164,0.0784,0.0,0.0789,0.801,101.885,K-Pop
0.311,0.15,-21.73,0.0415,0.957,0.893,0.0777,0.0385,98.386,Ballet
0.388,0.994,-3.766,0.0605,0.00323,0.014,0.304,0.706,193.914,Breaking
0.654,0.497,-15.684,0.117,0.302,0.932,0.0857,0.343,140.002,K-Pop
0.556,0.537,-10.761,0.0282,0.377,0.0,0.757,0.313,95.914,Hip Hop
0.421,0.409,-7.641,0.0318,0.354,0.0,0.107,0.152,147.88,Ballet
0.588,0.558,-12.677,0.0466,0.757,0.875,0.0688,0.454,84.983,Ballet
0.676,0.832,-5.628,0.0357,0.14,7.5e-05,0.0758,0.83,137.87,Salsa
0.549,0.396,-9.096,0.0689,0.749,0.8,0.0769,0.591,87.614,Ballet
0.245,0.624,-5.606,0.0368,0.11,0.0,0.363,0.462,162.586,Contemporary
0.821,0.69,-4.981,0.187,0.0202,0.00398,0.199,0.648,140.171,Hip Hop
0.76,0.788,-7.366,0.0357,0.769,0.00482,0.0756,0.971,92.604,Salsa
0.373,0.256,-12.95,0.0298,0.301,0.000922,0.28,0.0973,149.919,Contemporary
0.568,0.7,-5.724,0.0669,0.164,0.00546,0.103,0.971,129.505,Hip Hop
0.356,0.752,-6.76,0.0455,0.091,0.0,0.571,0.263,199.866,Hip Hop
0.477,0.914,-2.705,0.0512,0.0604,0.0,0.0347,0.632,156.949,K-Pop
0.389,0.212,-16.434,0.0359,0.961,0.914,0.0983,0.339,77.016,Ballet
0.514,0.703,-6.859,0.0298,0.0107,7.62e-05,0.13,0.356,157.399,Contemporary
0.756,0.219,-13.053,0.0666,0.0985,0.872,0.111,0.6,146.028,Ballet
0.84,0.442,-13.497,0.0638,0.403,5.28e-05,0.057,0.968,118.839,Hip Hop
0.462,0.0787,-24.908,0.0362,0.971,0.873,0.108,0.04,124.963,Ballet
0.538,0.881,-5.205,0.0824,0.132,0.0,0.222,0.392,111.946,Contemporary
0.821,0.487,-14.569,0.0648,0.0242,0.893,0.195,0.542,109.278,Hip Hop
0.501,0.556,-5.628,0.0266,0.361,0.000133,0.115,0.165,82.017,Ballet
0.793,0.65,-7.546,0.072,0.286,0.0,0.141,0.924,159.985,Salsa
0.634,0.811,-3.838,0.033,0.122,0.0,0.188,0.724,119.967,K-Pop
0.661,0.654,-6.084,0.0784,0.363,0.000115,0.165,0.0372,85.166,Hip Hop
0.82,0.504,-9.113,0.141,0.261,7e-06,0.104,0.275,85.016,Hip Hop
0.559,0.845,-3.871,0.0379,0.222,0.0,0.164,0.304,94.916,Ballet
0.486,0.825,-10.004,0.147,0.326,0.0,0.369,0.829,135.736,Hip Hop
0.521,0.592,-9.801,0.134,0.0489,0.0,0.267,0.356,129.754,Hip Hop
0.626,0.746,-7.475,0.0402,0.698,0.0,0.687,0.759,104.079,Salsa
0.494,0.442,-8.764,0.106,0.437,0.00049,0.111,0.4,89.506,Hip Hop
0.642,0.239,-12.194,0.162,0.907,0.955,0.109,0.336,167.936,Ballet
0.837,0.698,-8.288,0.0558,0.565,4.63e-06,0.128,0.783,102.511,Salsa
0.619,0.669,-5.745,0.0369,0.625,3.58e-06,0.157,0.335,133.948,Salsa
0.628,0.027,-13.64,0.0485,0.944,0.0006,0.0909,0.203,122.007,Contemporary
0.602,0.625,-5.165,0.0394,0.0667,4.72e-06,0.112,0.389,86.036,Contemporary
0.594,0.94,-5.522,0.0377,0.154,9.94e-06,0.0766,0.938,165.185,Salsa
0.519,0.422,-4.806,0.0463,0.933,0.000337,0.288,0.689,134.033,Salsa
0.603,0.918,-7.397,0.0446,0.00877,3.01e-06,0.0581,0.874,152.946,Contemporary
0.675,0.888,-3.343,0.035,0.12,0.00967,0.337,0.526,119.018,Salsa
0.593,0.851,-5.456,0.0446,0.0683,0.0,0.271,0.344,119.987,Ballet
0.664,0.347,-13.07,0.13,0.672,0.335,0.108,0.599,170.055,Ballet
0.579,0.502,-7.57,0.0513,0.733,0.0,0.281,0.836,76.783,Contemporary
0.169,0.0153,-26.169,0.0648,0.884,0.98,0.119,0.0822,119.147,Ballet
0.122,0.0628,-22.822,0.0489,0.983,0.00481,0.0771,0.0379,66.47,Ballet
0.424,0.769,-9.792,0.107,0.669,0.00217,0.336,0.964,189.085,K-Pop
0.679,0.95,-6.76,0.0614,0.0707,0.948,0.114,0.0495,119.905,Hip Hop
0.66,0.489,-11.3,0.0758,0.0349,0.434,0.114,0.304,77.028,K-Pop
0.543,0.443,-19.179,0.0818,0.0284,0.0288,0.116,0.129,106.503,Breaking
0.682,0.141,-19.345,0.0616,0.801,0.886,0.112,0.109,93.099,K-Pop
0.434,0.311,-12.524,0.0285,0.83,0.00238,0.114,0.305,82.872,Contemporary
0.299,0.926,-6.13,0.0994,0.000442,0.116,0.0585,0.531,206.641,Hip Hop
0.633,0.452,-9.119,0.0531,0.0162,0.151,0.169,0.402,114.058,Contemporary
